Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Emami Ltd.,EMAMILTD,8,1,417.2,429.6,415.35,420.25,424.95,4.7,1,102892,43498621.92,621.8,393.4,-25.0,0.94
Endurance Technologies Ltd.,ENDURANCE,0,1,1418.8,1419.0,1396.85,1411.7,1410.0,-1.7,0,140419,197643955.07,1989.0,1047.2,-13.14,7.94
Engineers India Ltd.,ENGINERSIN,3,1,57.0,58.95,56.6,57.0,58.8,1.8,1,751759,43752373.8,82.5,56.0,-28.39,-8.51
EPL Ltd.,EPL,1,1,150.1,159.95,149.3,149.15,156.5,7.35,1,220028,34181349.8,291.0,147.15,-46.73,-9.19
Equitas Holdings Ltd.,EQUITAS,9,1,82.4,83.0,81.5,82.0,82.55,0.55,1,198014,16282691.22,145.0,75.0,-12.77,-12.11
Equitas Small Finance Bank Ltd.,EQUITASBNK,9,1,39.4,39.5,38.8,39.45,39.5,0.05,1,160741,6302654.61,76.8,37.45,-33.08,-2.95
Eris Lifesciences Ltd.,ERIS,11,1,670.55,670.55,648.45,667.2,651.0,-16.2,0,8326,5464104.02,863.0,600.3,-5.7,-0.09
Escorts Kubota Ltd.,ESCORTS,1,1,1449.95,1471.7,1424.55,1444.8,1467.2,22.4,1,489734,708072109.22,1934.0,1128.0,18.42,-11.36
Exide Industries Ltd.,EXIDEIND,0,1,137.5,141.95,136.8,137.8,141.95,4.15,1,854228,119053756.36,204.9,130.25,-24.43,-5.91
Fertilisers and Chemicals Travancore Ltd.,FACT,2,1,96.4,96.4,93.4,96.4,95.0,-1.4,0,227181,21543574.23,159.9,82.35,-30.17,-22.51
FDC Ltd.,FDC,11,1,239.8,255.0,233.45,238.65,248.0,9.35,1,40209,9696400.35,388.7,225.0,-32.58,-3.01
Federal Bank Ltd.,FEDERALBNK,9,1,90.55,94.35,89.3,90.2,94.05,3.85,1,16073373,1482447191.79,107.65,77.5,3.56,1.52
Finolex Cables Ltd.,FINCABLES,1,1,374.0,381.95,371.35,376.3,376.3,0.75,0,49522,18673755.76,608.6,343.5,-27.61,1.51
Fine Organic Industries Ltd.,FINEORG,2,1,4804.45,4898.35,4780.0,4797.9,4840.0,42.1,1,25788,124989020.52,6139.9,2734.55,65.76,-1.46
Finolex Industries Ltd.,FINPIPE,1,1,135.8,137.5,134.1,136.2,137.2,1.0,1,118082,16022546.58,244.5,125.0,-25.96,-13.25
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,2,1,2800.25,2807.4,2696.95,2774.95,2755.0,-19.95,0,44957,124253505.31,3198.9,1034.1,138.9,-3.89
Fortis Healthcare Ltd.,FORTIS,11,1,236.65,238.0,232.3,240.0,235.5,-4.5,0,536057,125769693.34,313.45,219.75,-1.4,0.82
