Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Prince Pipes and Fittings Ltd.,PRINCEPIPE,1,1,593.15,603.0,590.15,598.15,594.5,-3.65,0,51385,30605933.7,897.0,549.3,-16.74,-4.99
Privi Speciality Chemicals Ltd.,PRIVISCL,2,1,1075.75,1076.0,1040.0,1087.3,1072.0,-15.3,0,16783,17740470.15,2249.0,1015.3,-2.0,-6.87
Prism Johnson Ltd.,PRSMJOHNSN,4,1,107.95,108.45,106.1,107.95,107.5,-0.45,0,24056,2587222.8,160.0,96.65,-17.34,-6.01
PVR Ltd.,PVR,13,1,1860.85,1895.0,1828.9,1860.85,1888.0,27.15,1,358082,664456959.2,2003.8,1224.05,39.43,1.13
Quess Corp Ltd.,QUESS,18,1,613.5,613.5,592.1,613.65,598.5,-15.15,0,76594,46016143.32,989.9,527.4,-24.98,-12.84
Radico Khaitan Ltd,RADICO,8,1,872.0,898.9,860.25,872.5,871.85,-0.65,0,257073,226039147.44,1294.0,723.2,14.94,8.47
Railtel Corporation Of India Ltd.,RAILTEL,19,1,91.15,91.65,90.7,91.1,91.05,-0.05,0,162424,14801699.12,150.4,84.0,-35.57,-6.28
Rain Industries Ltd,RAIN,2,1,145.5,149.55,144.1,146.5,148.75,2.25,1,946679,139067145.1,272.75,128.6,-24.74,-12.85
Rajesh Exports Ltd.,RAJESHEXPO,5,1,622.0,630.85,615.0,625.4,621.0,-4.4,0,128888,79999492.72,994.7,518.5,10.77,15.46
Rallis India Ltd.,RALLIS,2,1,189.0,189.6,186.35,188.65,188.8,0.15,1,219820,41279997.8,341.85,182.5,-41.94,-5.77
The Ramco Cements Ltd.,RAMCOCEM,4,1,634.0,648.95,613.75,636.8,646.0,9.2,1,327788,209502422.32,1132.7,575.65,-37.92,-8.87
Ratnamani Metals & Tubes Ltd.,RATNAMANI,1,1,1634.05,1659.7,1553.55,1654.4,1580.0,-74.4,0,107552,170150490.56,1913.7,1237.07,-19.33,-37.18
Restaurant Brands Asia Ltd.,RBA,6,1,112.0,113.05,108.85,111.0,109.7,-1.3,0,978252,108732709.8,189.7,86.5,-11.06,14.2
RBL Bank Ltd.,RBLBANK,9,1,82.95,86.7,82.1,83.45,85.95,2.5,1,16258460,1376278639.0,226.4,74.15,-60.36,-25.69
Rashtriya Chemicals & Fertilizers Ltd.,RCF,2,1,77.95,78.7,76.1,78.15,78.7,0.55,1,1110880,86082091.2,112.65,66.0,-6.52,-18.34
REC Ltd.,RECLTD,9,1,122.8,126.0,120.1,123.75,125.75,2.0,1,19076925,2358671007.0,168.85,109.65,-16.69,3.86
Redington (India) Ltd.,REDINGTON,18,1,125.0,128.0,122.6,125.55,127.4,1.85,1,1081859,135340560.9,179.2,109.4,-53.05,-3.42
Relaxo Footwears Ltd.,RELAXO,5,1,961.0,979.0,960.1,963.85,970.45,6.6,1,41820,40657822.2,1448.0,925.0,-16.33,-2.75
Reliance Industries Ltd.,RELIANCE,15,1,2574.9,2592.0,2365.0,2595.65,2406.0,-189.65,0,37841671,92119871798.85,2856.15,2016.25,22.98,-1.41
Shree Renuka Sugars Ltd.,RENUKA,8,1,46.5,46.5,45.1,46.4,45.6,-0.8,0,8262303,377752493.16,63.2,21.5,17.92,-1.07
RHI MAGNESITA INDIA LTD.,RHIM,1,1,502.5,513.95,497.65,501.5,501.95,0.45,1,165626,83506972.94,674.0,317.3,-11.06,-6.55
RITES Ltd.,RITES,3,1,234.0,235.15,232.25,234.85,234.95,0.1,1,29804,6981288.96,317.9,226.2,-14.96,-4.78
Rossari Biotech Ltd.,ROSSARI,2,1,880.8,882.0,850.4,873.05,874.8,1.75,1,20002,17471947.02,1619.0,795.1,-26.84,0.05
Route Mobile Ltd.,ROUTE,19,1,1242.0,1290.0,1241.05,1242.85,1267.0,24.15,1,655866,830962546.02,2389.0,1052.0,-27.88,-10.73
RattanIndia Enterprises Ltd.,RTNINDIA,18,1,43.0,43.2,41.2,42.4,41.75,-0.65,0,622861,26029361.19,71.0,30.5,-11.06,-13.91
Rail Vikas Nigam Ltd.,RVNL,3,1,30.1,30.25,29.8,30.0,30.0,0.75,0,763473,22896555.27,44.8,27.5,-10.98,-7.41
Steel Authority of India Ltd.,SAIL,14,1,68.2,70.2,67.85,68.55,69.9,1.35,1,20563587,1415391693.21,145.9,63.6,-47.51,-9.74
Sanofi India Ltd.,SANOFI,11,1,6415.0,6435.05,6333.0,6437.4,6376.85,-60.55,0,11452,72904577.2,9285.0,6333.0,-16.1,-5.92
Sapphire Foods India Ltd.,SAPPHIRE,6,1,1084.0,1104.0,1070.45,1085.0,1086.0,1.0,1,145969,157913643.27,1540.0,909.0,-11.06,2.09
Saregama India Ltd,SAREGAMA,13,1,362.9,368.95,353.65,361.95,359.95,-2.0,0,120158,43447931.22,550.59,295.3,-11.06,-16.26
SBI Cards and Payment Services Ltd.,SBICARD,9,1,767.8,777.55,763.75,768.25,771.85,3.6,1,1073345,829083878.35,1165.0,655.7,-20.83,-1.51
SBI Life Insurance Company Ltd.,SBILIFE,9,1,1085.45,1105.35,1075.0,1081.6,1100.25,18.65,1,696341,760118872.19,1293.25,996.05,7.29,-7.88
State Bank of India,SBIN,9,1,463.35,468.8,460.55,465.9,468.5,2.6,1,9405495,4374119504.7,549.0,401.25,11.14,-0.47
Schaeffler India Ltd.,SCHAEFFLER,0,1,2289.0,2289.0,2250.0,2290.5,2260.0,-30.5,0,46062,104262718.86,9700.0,1598.0,-59.35,-0.44
Shipping Corporation of India Ltd.,SCI,18,1,97.25,98.0,95.75,97.65,96.85,-0.8,0,367655,35618416.4,160.2,85.6,-11.79,-17.42
Sequent Scientific Ltd.,SEQUENT,11,1,93.55,93.55,91.2,92.85,93.0,0.15,1,625299,57690085.74,328.7,82.0,-70.32,-15.78
Sheela Foam Ltd.,SFL,5,1,2649.0,2679.0,2612.0,2660.45,2651.0,-9.45,0,3071,8128230.67,4055.0,2185.6,19.27,-11.46
Shilpa Medicare Ltd.,SHILPAMED,11,1,389.35,398.0,381.0,389.35,397.75,8.4,1,69762,27260896.74,670.4,380.0,-27.78,-10.37
Shree Cement Ltd.,SHREECEM,4,1,19050.0,19272.0,18898.85,19009.7,19233.05,223.35,1,17699,338754081.27,31469.95,17865.2,-30.89,-14.05
Shriram City Union Finance Ltd.,SHRIRAMCIT,9,1,1660.55,1707.05,1657.25,1660.55,1705.9,45.35,1,35205,59115883.95,2602.0,1416.05,-3.06,-3.26
Shyam Metalics and Energy Ltd.,SHYAMMETL,14,1,282.0,282.45,275.7,280.45,277.0,-3.45,0,62789,17444667.87,461.15,273.1,-24.12,-10.36
Siemens Ltd.,SIEMENS,1,1,2381.0,2425.0,2366.3,2400.45,2410.0,9.55,1,208443,502199635.47,2576.85,1920.0,18.77,-1.38
SIS Ltd.,SIS,18,1,456.0,456.0,449.8,453.9,452.0,-1.9,0,29489,13327553.55,560.0,420.0,5.56,-3.31
SJVN Ltd.,SJVN,16,1,26.8,27.55,26.7,26.9,27.4,0.5,1,834442,22588344.94,33.75,25.35,-3.58,-2.36
SKF India Ltd.,SKFINDIA,1,1,3620.0,3786.65,3578.05,3637.8,3720.0,82.2,1,68901,249967315.92,4239.95,2502.3,35.72,1.1
Sobha Ltd.,SOBHA,17,1,569.0,577.9,551.3,577.05,555.0,-22.05,0,338751,191191064.4,1044.95,462.0,22.5,4.99
Solara Active Pharma Sciences Ltd.,SOLARA,11,1,350.0,354.55,341.0,352.3,346.0,-6.3,0,56960,19701324.8,1827.0,320.0,-79.09,-15.14
Solar Industries India Ltd.,SOLARINDS,2,1,2725.2,2769.95,2702.2,2745.3,2715.0,-30.3,0,53477,145652096.28,3189.95,1550.0,73.21,4.78
Sona BLW Precision Forgings Ltd.,SONACOMS,0,1,551.1,570.0,547.0,553.8,569.0,15.2,1,352045,197391631.5,839.9,333.25,61.79,-0.65
Sonata Software Ltd.,SONATSOFTW,12,1,669.45,671.95,655.0,669.45,655.0,-14.45,0,57392,38285055.36,1024.9,610.1,-10.36,-2.29
Sun Pharma Advanced Research Company Ltd.,SPARC,11,1,209.1,209.7,202.35,209.1,204.0,-5.1,0,145955,29906179.5,349.0,170.45,-8.99,-5.94
Spicejet Ltd.,SPICEJET,18,1,37.9,39.5,37.7,38.15,39.05,0.9,1,2091895,81416553.4,87.3,37.15,-52.9,-19.6
SRF Ltd.,SRF,2,1,2230.0,2239.75,2133.05,2252.2,2161.4,-90.8,0,809031,1754035840.17,2773.35,1418.8,-69.04,-8.6
Shriram Transport Finance Co. Ltd.,SRTRANSFIN,9,1,1266.2,1274.8,1238.5,1281.35,1264.0,-17.35,0,1071657,1348476719.67,1696.4,1002.0,-4.57,8.94
Strides Pharma Science Ltd.,STAR,11,1,325.05,340.0,325.05,330.7,337.0,6.3,1,632891,210695742.81,818.0,263.35,-56.45,-0.54
Star Health and Allied Insurance Company Ltd.,STARHEALTH,9,1,490.0,490.0,469.05,488.7,475.9,-12.8,0,1600279,758932315.75,940.0,469.05,-11.06,-28.43
Sterlite Technologies Ltd.,STLTECH,19,1,148.5,150.1,145.05,148.45,147.5,-0.95,0,374778,55276007.22,318.0,135.5,-43.85,-14.71
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,2,1,419.25,423.8,416.8,419.25,420.0,0.75,1,25363,10650684.59,794.0,402.0,-38.37,-8.27
Sumitomo Chemical India Ltd.,SUMICHEM,2,1,424.15,425.95,420.95,424.15,422.75,-1.4,0,84550,35780714.5,492.0,344.25,9.81,-8.49
Sundaram Finance Ltd.,SUNDARMFIN,9,1,1735.25,1799.0,1735.25,1761.65,1798.5,36.85,1,6156,10914464.88,2729.0,1555.0,-34.14,8.31
Sundram Fasteners Ltd.,SUNDRMFAST,0,1,724.0,752.0,718.45,724.9,747.0,22.1,1,46481,34167253.48,993.7,673.05,-10.36,-7.08
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,11,1,829.9,836.95,825.0,830.6,830.8,0.2,1,2316527,1921188502.18,967.05,664.2,22.97,-3.49
Sunteck Realty Ltd.,SUNTECK,17,1,498.3,514.0,491.55,496.55,511.0,14.45,1,1770328,895184056.48,589.9,292.05,68.87,9.73
Sun TV Network Ltd.,SUNTV,13,1,413.8,425.7,411.85,412.55,423.5,10.95,1,2838077,1191935578.46,612.0,402.55,-22.12,-7.4
Suprajit Engineering Ltd.,SUPRAJIT,0,1,330.05,339.75,326.0,332.45,337.25,4.8,1,108993,36269600.61,474.9,272.05,17.81,-1.79
Supreme Industries Ltd.,SUPREMEIND,1,1,1760.05,1780.0,1752.45,1766.85,1761.0,-5.85,0,10943,19356306.69,2693.9,1666.25,-18.37,-3.82
Suven Pharmaceuticals Ltd.,SUVENPHAR,11,1,460.0,465.0,457.7,462.3,460.1,-2.2,0,46758,21604066.32,631.75,425.7,-3.68,-7.53
Suzlon Energy Ltd.,SUZLON,1,1,6.75,6.95,6.7,6.85,6.8,-0.05,0,36152847,244754774.19,13.1,5.7,-14.38,-19.88
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,3,1,294.8,300.0,290.1,296.6,298.5,1.9,1,97483,28705819.01,509.1,248.1,9.02,-9.71
Symphony Ltd.,SYMPHONY,5,1,876.95,879.5,855.05,876.7,865.5,-11.2,0,180991,156613322.21,1215.0,828.0,-14.78,-12.71
Syngene International Ltd.,SYNGENE,11,1,550.0,564.1,544.8,554.75,563.0,8.25,1,135870,75301871.4,700.0,510.05,-4.89,-3.1
Tanla Platforms Ltd.,TANLA,12,1,998.0,1004.0,980.3,1004.65,1002.0,-2.65,0,160015,159008505.65,2096.75,780.0,-11.06,-24.38
Tata Chemicals Ltd.,TATACHEM,2,1,791.0,804.9,773.35,793.35,800.0,6.65,1,770388,605756084.4,1158.0,719.3,9.61,-16.36
Tata Coffee Ltd.,TATACOFFEE,8,1,193.9,199.0,192.25,193.9,198.25,4.35,1,568731,111198285.12,254.4,178.6,3.33,-6.58
Tata Communications Ltd.,TATACOMM,19,1,917.45,937.4,908.9,914.25,931.0,16.75,1,283046,261489216.64,1591.95,856.25,-28.97,-7.19
Tata Consumer Products Ltd.,TATACONSUM,8,1,700.0,722.95,697.0,706.35,721.5,15.15,1,954981,679086989.1,889.0,650.2,-6.37,-7.03
Tata Elxsi Ltd.,TATAELXSI,12,1,8170.55,8239.0,8022.0,8170.55,8155.15,-15.4,0,270194,2196669114.18,9420.0,4033.1,89.82,-2.51
Tata Investment Corporation Ltd.,TATAINVEST,9,1,1343.5,1343.5,1331.0,1342.15,1340.0,-2.15,0,8592,11485270.08,1733.9,1118.0,18.73,-12.22
Tata Motors Ltd.,TATAMOTORS,0,1,410.65,414.6,402.3,411.8,413.7,1.9,1,14725989,5997895319.7,536.7,268.45,21.26,-7.16
Tata Motors Ltd DVR,TATAMTRDVR,0,1,197.7,198.65,192.0,197.8,198.25,0.45,1,1610634,314927266.02,298.65,129.15,27.45,-7.16
Tata Power Co. Ltd.,TATAPOWER,16,1,202.7,207.65,200.6,202.2,207.2,5.0,1,15807993,3224356332.21,298.05,118.4,65.6,-14.01
Tata Steel Ltd.,TATASTEEL,14,1,866.95,875.0,859.1,867.05,871.2,4.15,1,5476189,4746979672.76,1534.5,827.0,-25.68,-17.87
Tata Steel Long Products Ltd.,TATASTLLP,1,1,575.0,582.95,564.7,575.6,581.0,5.4,1,10870,6187856.2,1173.0,534.0,-11.06,-12.96
TCI Express Ltd.,TCIEXP,18,1,1580.0,1624.85,1580.0,1594.4,1590.25,-4.15,0,31026,49884223.32,2572.0,1280.0,10.8,-1.5
TCNS Clothing Co. Ltd.,TCNSBRANDS,20,1,537.0,543.7,526.9,530.8,537.0,6.2,1,20185,10831069.15,932.0,494.1,-8.98,-10.98
Tata Consultancy Services Ltd.,TCS,12,1,3260.0,3333.0,3252.05,3267.1,3331.0,63.9,1,1502879,4930344847.4,4043.0,3023.85,-2.35,-2.89
Teamlease Services Ltd.,TEAMLEASE,18,1,3252.0,3358.0,3203.6,3236.15,3300.0,63.85,1,17375,57512466.25,5550.0,2910.0,-10.54,-1.99
Tech Mahindra Ltd.,TECHM,12,1,997.0,1014.0,989.3,1000.0,1011.25,11.25,1,1842102,1848880935.36,1838.0,943.7,-8.71,-15.27
Thermax Ltd.,THERMAX,1,1,2060.0,2079.95,2022.35,2097.15,2036.25,-60.9,0,30977,63452667.26,2347.0,1286.95,41.28,5.16
Thyrocare Technologies Ltd.,THYROCARE,11,1,622.9,627.0,613.2,621.05,617.8,-3.25,0,33220,20545573.4,1374.9,613.2,-52.69,-5.85
Tube Investments of India Ltd.,TIINDIA,0,1,1803.7,1835.0,1751.0,1841.3,1758.0,-83.3,0,88311,157356955.35,2025.0,1081.05,57.56,17.25
Timken India Ltd.,TIMKEN,1,1,2385.0,2484.75,2385.0,2377.3,2476.0,98.7,1,102059,249572016.83,2730.0,1450.0,61.79,4.26
Titan Company Ltd.,TITAN,5,1,1895.0,1954.35,1825.05,1941.25,1944.75,3.5,1,4064801,7729950765.68,2768.0,1662.5,12.05,-12.4
Torrent Pharmaceuticals Ltd.,TORNTPHARM,11,1,2850.0,2925.0,2838.05,2860.25,2920.0,59.75,1,157824,457984730.88,3298.5,2484.15,-1.43,0.98
Torrent Power Ltd.,TORNTPOWER,16,1,451.0,460.6,449.4,451.65,460.6,8.95,1,220456,100386844.16,606.55,415.25,-1.84,-0.96
Trent Ltd.,TRENT,6,1,1074.15,1088.1,1059.1,1074.15,1078.0,3.85,1,555368,595593304.24,1346.85,838.0,26.39,-4.44
Trident Ltd.,TRIDENT,20,1,38.65,38.8,37.65,38.7,38.2,-0.5,0,2633568,100365276.48,70.35,16.3,136.7,-18.87
Triveni Turbine Ltd.,TRITURBINE,1,1,154.15,157.65,154.05,156.35,156.6,0.25,1,126459,19678284.99,231.7,107.1,26.8,-8.19
Triveni Engineering & Industries Ltd.,TRIVENI,8,1,237.0,237.0,225.7,236.45,229.7,-6.75,0,543017,124758155.75,374.5,159.45,22.77,-19.19
TTK Prestige Ltd.,TTKPRESTIG,5,1,828.0,833.4,816.95,830.75,830.0,-0.75,0,17948,14811048.56,1264.65,744.7,-91.14,-0.14
Tata Teleservices (Maharashtra) Ltd.,TTML,19,1,121.4,122.7,118.5,121.1,119.4,-1.7,0,2252618,269660900.78,290.15,32.75,-11.06,-3.43
TV18 Broadcast Ltd.,TV18BRDCST,13,1,39.1,39.45,38.4,38.95,39.1,0.15,1,4948800,192508320.0,82.6,33.2,-9.21,-3.35
TVS Motor Company Ltd.,TVSMOTOR,0,1,837.5,886.3,827.3,841.95,836.05,-5.9,0,3263584,2765887440.0,886.3,495.0,35.69,14.31
United Breweries Ltd.,UBL,8,1,1453.8,1509.0,1440.0,1452.8,1501.95,49.15,1,174055,256786822.6,1785.8,1274.5,0.45,-5.81
UCO Bank,UCOBANK,9,1,11.0,11.2,10.75,10.95,11.05,0.1,1,1157345,12707648.1,15.9,10.55,-27.96,-5.6
UFLEX Ltd.,UFLEX,1,1,580.6,583.0,568.05,580.6,579.0,-1.6,0,59052,34016314.08,719.0,427.0,2.08,-5.34
UltraTech Cement Ltd.,ULTRACEMCO,4,1,5600.0,5699.75,5485.0,5607.3,5690.0,82.7,1,329610,1855160443.5,8269.0,5157.05,-17.25,-7.81
Union Bank of India,UNIONBANK,9,1,34.4,34.65,34.0,34.25,34.55,0.3,1,2376699,81520775.7,54.8,32.7,-11.15,-9.51
UPL Ltd.,UPL,2,1,630.0,646.0,621.95,632.4,642.85,10.45,1,3575548,2276015079.4,852.4,607.5,-20.24,-18.88
UTI Asset Management Company Ltd.,UTIAMC,9,1,643.0,643.0,628.05,645.9,640.0,-5.9,0,46115,29270573.95,1216.2,595.0,-24.34,-5.71
Vaibhav Global Ltd.,VAIBHAVGBL,6,1,301.0,306.95,287.9,299.9,303.0,3.1,1,131705,39561547.9,860.0,287.9,-62.43,-10.68
Vakrangee Ltd.,VAKRANGEE,12,1,26.75,27.5,26.15,26.75,26.7,-0.05,0,2363491,62963400.24,47.2,23.55,-35.93,-6.47
Varroc Engineering Ltd.,VARROC,0,1,300.5,307.45,295.1,299.7,305.1,5.4,1,134195,40414166.2,493.85,260.0,-18.37,-12.87
Varun Beverages Ltd.,VBL,8,1,790.0,809.0,786.2,790.55,790.0,-0.55,0,951574,759584429.76,809.0,472.67,8.35,-25.17
Vedanta Ltd.,VEDL,14,1,221.1,223.6,206.0,223.0,213.7,-9.3,0,26130465,5596884298.35,440.75,206.0,-15.16,-30.51
Venky's (India) Ltd.,VENKEYS,8,1,1897.15,1910.0,1875.75,1896.6,1901.0,4.4,1,8251,15614192.4,3746.0,1772.95,-47.1,-6.86
V-Guard Industries Ltd.,VGUARD,5,1,224.2,226.75,217.1,225.2,218.5,-6.7,0,212688,47031697.44,274.8,181.0,-15.07,-3.88
Vijaya Diagnostic Centre Ltd.,VIJAYA,11,1,333.2,361.0,331.55,333.2,351.25,18.05,1,203583,71673430.98,672.0,295.0,-11.06,-8.26
Vinati Organics Ltd.,VINATIORGA,2,1,1977.0,2024.9,1936.7,1982.9,1983.0,0.1,1,40500,80528580.0,2290.0,1674.2,8.36,-3.2
V.I.P. Industries Ltd.,VIPIND,5,1,626.5,631.8,606.4,626.5,618.9,-7.6,0,125113,77473722.99,774.6,374.0,56.41,8.04
V-Mart Retail Ltd.,VMART,6,1,2497.65,2500.0,2425.0,2485.2,2471.0,-14.2,0,28139,69418913.0,4848.8,2406.85,-11.25,-24.14
Voltas Ltd.,VOLTAS,5,1,949.8,969.65,938.1,972.4,959.0,-13.4,0,1129398,1079952955.56,1356.9,922.55,-4.9,-4.48
Vardhman Textiles Ltd.,VTL,20,1,265.45,273.25,262.1,265.05,272.95,7.9,1,431463,115235138.04,2880.0,245.5,-80.62,-7.58
Welspun Corp Ltd.,WELCORP,1,1,217.0,221.55,213.1,218.85,214.65,-4.2,0,880477,190852194.52,250.65,105.85,52.94,-3.29
Welspun India Ltd.,WELSPUNIND,20,1,69.6,70.4,68.15,69.45,69.9,0.45,1,1174496,81275123.2,170.7,62.2,-27.96,6.27
Westlife Development Ltd.,WESTLIFE,6,1,498.0,508.0,490.05,497.3,491.0,-6.3,0,50304,25038816.0,629.0,402.3,-0.46,9.25
Whirlpool of India Ltd.,WHIRLPOOL,5,1,1552.0,1579.8,1538.5,1560.85,1560.0,-0.85,0,62441,97504743.55,2550.0,1365.1,-30.18,-4.9
Wipro Ltd.,WIPRO,12,1,415.0,423.2,411.4,416.05,422.05,6.0,1,4453624,1855023468.48,739.85,402.05,-23.75,-12.97
Wockhardt Ltd.,WOCKPHARMA,11,1,206.95,208.8,205.15,208.55,207.0,-1.55,0,375081,77671773.48,592.0,205.15,-59.74,-19.34
Yes Bank Ltd.,YESBANK,9,1,12.65,12.75,12.55,12.65,12.7,0.05,1,18633694,235902566.04,16.25,10.5,-6.64,-3.8
Zee Entertainment Enterprises Ltd.,ZEEL,13,1,213.0,215.85,210.6,214.1,215.5,1.4,1,4131369,880807870.8,378.7,166.8,-0.3,-15.33
Zensar Technolgies Ltd.,ZENSARTECH,12,1,273.15,273.55,268.4,272.1,270.0,-2.1,0,186578,50467483.22,587.0,246.65,-12.61,-11.02
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,0,1,7748.0,7900.0,7525.3,7716.6,7680.0,-36.6,0,12790,98846236.0,8780.05,6793.3,-11.06,1.43
Zomato Ltd.,ZOMATO,6,1,54.15,56.7,52.55,53.85,56.0,2.15,1,112078641,6193465701.66,169.0,50.05,-11.06,-27.86
Zydus Lifesciences Ltd.,ZYDUSLIFE,11,1,356.9,364.05,354.3,357.0,364.0,7.0,1,862373,310014469.77,651.9,319.0,-11.06,-5.64
Zydus Wellness Ltd.,ZYDUSWELL,8,1,1635.0,1635.0,1605.0,1636.85,1627.0,-9.85,0,10803,17495674.56,2476.85,1430.0,-22.08,6.25
